Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tony Bradley,C,25,CHI,9,0,2.8,0.4,0.8,.571,0.2,0.4,.500,0.2,0.3,.667,.714,0.2,0.2,1.000,0.1,1.0,1.1,0.1,0.1,0.0,0.1,0.1,1.3
Clint Capela,C,28,ATL,27,27,27.5,5.4,8.6,.636,0.0,0.0,0,5.4,8.6,.636,.636,1.1,1.9,.600,4.3,7.6,11.9,0.7,0.6,1.3,1.0,2.4,12.0
Nic Claxton,C,23,BRK,36,36,28.3,5.3,7.2,.737,0.0,0.0,.000,5.3,7.2,.740,.737,1.2,2.6,.468,2.5,5.8,8.3,1.5,0.8,2.6,1.2,2.8,11.8
Andre Drummond,C,29,CHI,32,0,13.7,2.7,4.5,.604,0.0,0.1,.000,2.7,4.4,.613,.604,0.9,1.7,.566,2.2,4.7,6.9,0.7,0.7,0.3,1.1,1.9,6.4
Al Horford,C,36,BOS,31,31,30.3,3.5,7.3,.482,2.0,4.6,.427,1.5,2.7,.578,.617,0.2,0.3,.600,1.1,5.3,6.4,2.5,0.4,1.0,0.6,1.8,9.2
Frank Kaminsky,C,29,ATL,19,0,7.0,0.9,1.6,.567,0.4,0.9,.444,0.5,0.6,.750,.700,0.4,0.4,1.000,0.1,1.4,1.4,0.8,0.1,0.0,0.3,0.8,2.6
Luke Kornet,C,27,BOS,33,0,11.8,1.6,2.4,.684,0.1,0.2,.333,1.6,2.2,.712,.696,0.5,0.5,.833,1.3,1.8,3.1,0.7,0.2,0.8,0.4,1.3,3.8
Onyeka Okongwu,C,22,ATL,38,11,23.6,3.8,6.1,.626,0.0,0.1,.000,3.8,6.0,.634,.626,1.7,2.2,.741,2.7,4.4,7.2,0.9,0.7,1.1,1.0,3.1,9.2
Day'Ron Sharpe,C,21,BRK,20,1,8.9,1.5,2.9,.526,0.2,0.3,.800,1.3,2.6,.500,.561,0.7,1.0,.684,1.3,1.9,3.2,0.7,0.2,0.5,0.8,1.7,3.9
Marko Simonovic,C,23,CHI,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,0,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1.0,.458,0.0,0.2,.250,0.4,0.9,.500,.479,0.1,0.1,1.000,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1
Nikola Vučević,C,32,CHI,40,40,33.3,6.7,12.9,.516,1.7,4.4,.379,5.0,8.5,.587,.580,1.8,2.2,.849,2.0,8.8,10.9,3.1,0.6,0.9,1.8,2.1,16.8
Robert Williams,C,25,BOS,9,0,19.4,3.4,4.1,.838,0.0,0.0,0,3.4,4.1,.838,.838,1.0,1.3,.750,3.1,4.6,7.7,1.2,0.6,1.3,0.9,1.7,7.9
