video_id,video_title,upload_date,view_count,like_count,comment_count
d2ca1AdqObY,"REAKCJA NA BATELPAS nr.7 ft. sselemoh, i ten drugi",2023-01-25,11,0,0
CeDPchD81vo,sselemoh gate - lost tapes,2023-01-22,35,1,2
-pFuHd_auBI,yumiko sad,2022-12-23,85,5,4
lNWI7pPsT8M,FORTNITE KAROL I FORTNITE RADEK ZNOWU ATAKUJĄ,2022-07-19,43,3,3
nQEupGLj_zA,WBITA PLATYNA ✅,2022-06-02,55,1,1
xrygKlrAeko,Multiversus Polska,2022-05-21,106,3,4
arEE409u5Qw,"REAKCJA NA BATELPAS nr.5 ft. aster, bo0, sselemoh",2022-01-24,161,11,8
3T35vZPepWA,Brawlhalla moments | Kroniki złotników,2021-12-17,106,5,4
ZwJXQxN4rSU,Brawlhalla moments | stoicki spokój i klątwa zariela,2021-11-15,119,4,6
kWRmIMDYYgU,Brawlhalla moments do 1 wina,2021-11-10,62,3,3
-yS_FCcDcCE,Brawlhalla montage ciche granie kox edition,2021-11-05,71,6,6
lWPX6Y3ooVM,pword rad przygody: zemsta kalememnona,2021-10-17,59,8,6
5ayf8BPd8Io,sigowica,2021-10-14,70,8,14
7neI4g7dJDE,do 1 losa,2021-10-12,62,4,9
eENBEpNQbu8,brawlhalla ASMR,2021-10-10,78,8,6
IwRYauG2vAI,League of Draven,2021-10-03,37,3,7
W5l5oLJ3y_w,zaraz platyna,2021-10-01,75,4,3
jmam0Dk9HkA,pword i rad przygody,2021-09-28,70,3,3
PB-gu-CnCCM,mental breakdown,2021-09-19,58,4,3
0kwXsnXSElE,maybe i am sig,2021-09-01,111,6,3
L43XO9Rtd-o,prawie gold wbity,2021-08-25,104,7,3
zQ0mmUAZ2K4,League of vibin,2021-06-27,77,6,4
wbtYwIA7b8E,dawaj pwordzie rankedy,2021-06-01,101,8,4
H_T__lRkWtQ,brawlhalla z pwordem,2021-05-21,116,5,1
7Sv0rNsOqcc,Skuriwel gang strikes again | Albion Online | PVP montage,2021-04-01,117,8,7
kV4FqpFt3DE,Lin Fei oddaje,2021-03-25,44,4,3
NtFnPBopvWc,𝘬𝘢𝘺𝘢 𝘻𝘪𝘮𝘰𝘸𝘢 𝘤𝘻𝘢𝘱𝘢 𝘩𝘦𝘩𝘦,2021-03-14,97,3,0
SueB3IOQYcg,𝚙𝚘𝚕𝚒𝚜𝚑𝚎𝚍 𝚋𝚛𝚊𝚠𝚕𝚑𝚊𝚕𝚕𝚊,2021-01-08,140,9,5
WvpYgw7hwZY,ｖｉｂｉｎｇ ｗｉｔｈ ｒａｙｍａｎ,2021-01-02,74,8,6
zpEkLup59l4,brand new brand,2020-12-24,44,3,1
mmE5sBTv1fA,League of Soraka,2020-12-20,89,4,5
4iUtJH7jI7Q,ｂｒａｗｌｈａｌｌａ,2020-12-17,171,11,11
0Y1PEwLXsEc,What a 12-level Rayman looks like,2020-12-12,100,8,9
c52lWvkPINo,bajoyayun.rad,2020-11-29,51,8,2
wbSs9YDgOEI,brawlhalla.rad,2020-11-28,94,5,4
Ga2qWd3efaI,onyx husky,2020-11-16,92,8,5
Zmn5-X4fxiM,koji bestest play,2020-11-09,43,4,2
p-ClVLmo-uc,Dont mess with skuriwel gang.rad Albion Online PVP (1.6kk frag)*insaneprofit*wtf*wt*f*wt*wfw*t*f*,2020-11-04,113,5,4
AjnMwV5WuIQ,patapins3.rad,2020-10-28,71,4,2
FltcQ0iI13A,NAJGORSZE MOMENTY Z TURNIEJU Z WIDZAMI B),2020-08-23,82,4,8
-Kf1g14AK0E,TURNIEJ WIDZÓW  ❤ B),2020-07-23,128,4,3
xxIhRwCkd8I,jest jak jest😎⛈,2020-07-01,21,2,3
JOp2b5Z1wac,mam wyjebane w jakies szerokie egzaminy 😎,2020-06-30,32,4,3
letvlidl5yg,Szeroki szach,2020-06-29,21,1,1
4XB8fQyC6UY,Szachy to Szachy tanto,2020-06-28,25,3,1
gStv6vwfgyo,Nieoficjalne mistrzostwa międzynarodowe w szachach *prawie wygrane*,2020-06-22,22,1,1
RRJUyHyNd0Y,Zostaje szachistą,2020-06-18,52,3,4
